序号,单位电话,单位名称,查得名称,查得名称与单位名称是否一致,found
1,05362081111,潍坊和睦家妇婴医院,潍坊和睦家妇婴医院,精准一致,潍坊和睦家妇婴医院
2,04294447001,葫芦岛恒瑞贸易有限公司,葫芦岛恒瑞贸易有限公司,精准一致,
3,03917291224,新华书店,新华书店(东西湖店),精准一致,河南省新华书店武陟县店
4,073186240655,长沙君逸装饰有限公司,长沙君逸装饰有限公司,精准一致,
5,02368088882,中建造国际项目管理有限公司,中建造国际项目管理有限公司,精准一致,
6,076982283187,东莞泰东电器有限公司,东莞市泰东电器有限公司,精准一致,东莞市泰东电器有限公司
7,02989581675,特惠3女装店,特惠3女装店,精准一致,
8,02558377516,南京健业化工有限公司,南京健业化工有限公司,精准一致,
9,037127978107,河南省尉氏县电子商务产业园,河南省尉氏县电子商务产业园,精准一致,
10,041188466794,大连宏实信息咨询有限公司,大连宏实信息咨询有限公司,精准一致,
11,03722188521,河南华运汽车销售有限公司,河南华运汽车销售有限公司,精准一致,
12,02164191703*890,上海慧龙动物保健品有限公司,上海慧龙动物保健品有限公司,精准一致,
13,07596633355,广东龙集电器有限公司,广东湛江龙集电器有限公司,精准一致,广东湛江龙集电器有限公司
14,059183621655,福州铭多家居贸易有限公司,福州铭多家居贸易有限公司,精准一致,
15,045157753888,外滩蒙古风情园,外滩蒙古风情园,精准一致,外滩蒙古风情园
16,051186857186,鑫盛有限公司,鑫盛有限公司,精准一致,
17,07928906059,九江市万通广告装饰有限公司,九江市万通广告装饰有限公司,精准一致,
18,04776213200,世明运输公司,世明运输公司,精准一致,
19,01056263335,北京香野乡村电子商务有限公司,北京香野乡村电子商务有限公司,精准一致,
20,057687721558,仙居县博达异型橡塑有限公司,浙江省仙居县博达异型橡塑有限公司,精准一致,
21,05582901266,利辛农商银行股份有限公司,利辛农商银行股份有限公司,精准一致,
22,051262837080,苏州吉矽精密科技有限公司,苏州吉矽精密科技有限公司,精准一致,苏州吉矽精密科技有限公司
23,057688587778,广州华浔品味装饰台州分公司,广州华浔品味装饰(东海大道),精准一致,广州华浔品味装饰
24,09346608777,庆阳超微骨科医院,庆阳超微骨科医院有限公司,精准一致,庆阳超微骨科医院有限公司
25,076085331222,中智药业集团有限公司,中山市中智药业,精准一致,中智大药房(和泰家园西南)
26,051987222787,江苏金马工程有限公司,江苏金马工程有限公司,精准一致,江苏金马工程有限公司
27,07976368368,大田鞋业有限公司,大田鞋业有限公司,精准一致,
28,043188558689,长春市中级人民法院,长春市中级人民法院,精准一致,
29,02584930942,南京欣沃,南京欣沃,精准一致,南京欣沃机械设备有限公司
30,073182764958,深圳市期待科技有限公司,深圳市期待科技有限公司,精准一致,
31,075526900060,深圳市行越电子经营部,深圳市行越电子经营部,精准一致,深圳市行越电子经营部
32,03566866001,中国联通,中国联通(马村营业厅),精准一致,
33,055168821054,肥西县桃花初级中学,肥西县桃花初级中学,精准一致,
34,02161900502,上海海洋大学,上海海洋大学,精准一致,
35,02584896440,南京航空航天大学,南京航空航天大学,精准一致,
36,05573053321,宝来电器,宿州宝来电器,精准一致,宿州宝来电器
37,04162199966,千盛购物广场,千盛购物广场(中央大街),精准一致,千盛购物广场
38,03165994005,中国电信集团公司燕郊分公司,中国电信集团公司燕郊分公司,精准一致,
39,073188938586*8893859,绿韵天城电子商务有限公司,绿韵天城电子商务有限公司,精准一致,
40,03177105896,泰康人寿保险股份有限公司,泰康人寿保险股份有限公司(青岛分公司),精准一致,
41,05337691090,齐都制药,齐都制药,精准一致,
42,075529651666,深圳市佳士科技股份有限公司,深圳市佳士科技股份有限公司,精准一致,深圳市佳士科技股份有限公司
43,079183812048,江西正邦科技股份有限公司,江西正邦科技股份有限公司南昌广联分公司,精准一致,江西正邦科技股份有限公司南昌广联分公司
44,03572317171,临汾圣达邦门业有限公司,圣达邦门业,精准一致,圣世邦门业有限公司
45,059124377106,中国人寿保险股份有限公司,中国人寿保险股份有限公司(虎门营销服务部),精准一致,中国人寿保险股份有限公司平潭县支公司
46,057487935837,宁波千瑞电子科技有限公司,宁波千瑞电子科技有限公司,精准一致,宁波千瑞电子科技有限公司
47,037155605888,东方红,东方红,精准一致,东方红宾馆
48,053182767663,济南大学,济南大学,精准一致,济南大学
49,075583561317,深圳市奕奕新服饰管理有限公司,深圳市奕奕新服饰经营管理有限公司,精准一致,
50,02889993808,成都赛思物业有限公司,成都赛思物业有限公司,精准一致,
51,02452673448,波司登家纺,波司登家纺,精准一致,
52,07715552815,广西碧虹景观工程有限公司,广西碧虹景观工程有限公司,精准一致,广西碧虹景观工程有限公司
53,076922184688,新桥鞋业有限公司,新桥鞋业有限公司,精准一致,新桥鞋业有限公司
54,057788628398,万象城曼加诺服饰专卖,万象城曼加诺服饰专卖,精准一致,
55,02161206688,国基电子上海有限公司,国基电子(上海)有限公司,精准一致,国基电子(上海)有限公司
56,03595035510,河津农商银行,河津农商银行,精准一致,河津市华圣服饰有限公司
57,02885754413,妮尚鞋业有限公司,妮尚鞋业有限公司,精准一致,
58,05925738999,宸鸿科技厦门有限公司,宸鸿科技(厦门)有限公司,精准一致,宸鸿科技(厦门)有限公司
59,07381558126*3080,娄底新野制造有限公司,娄底新野制造有限公司,精准一致,
60,08733045110,广东电信工程有限公司,广东电信工程有限公司,精准一致,
61,07523277895,博赛技工学校,博赛技工学校,精准一致,
62,03703133501,站集乡麦仁中学,站集乡麦仁中学,精准一致,
63,031183862838,朝阳花社,朝阳花社,精准一致,西三教花卉市场
64,051688258138,可成科技有限公司,可成科技有限公司,精准一致,
65,01085180966,中美联泰大都会有限公司,中美联泰大都会有限公司,精准一致,中美联泰大都会人寿保险有限公司(北京分公司)
66,02150801060,日月光封装测试有限公司,日月光封测公司,精准一致,日月光封测公司
67,057765766918,龙腾酒店,龙腾酒店,精准一致,龙腾酒店
68,03495028008,应县公安局,应县公安局,精准一致,应县公安局
69,057385851218,平湖市新成发五金机械有限公司,平湖市新成发五金机械有限公司,精准一致,平湖市成发五金机械厂F
70,02984491889,天朗森柏大酒店,天朗森柏大酒店,精准一致,
71,076983314860,东莞智高实业有限公司,东莞市智高实业有限公司,精准一致,东莞市智高实业有限公司
72,02422837758,山东信汇丰银信息科技公司,山东信汇丰银信息科技公司,精准一致,
73,059187270629,星之火有限公司,星之火有限公司,精准一致,
74,059583050088*8305008,豪上豪服饰,石狮市豪上豪服饰有限公司,精准一致,
75,03546762958,榆社县污水处理中心,榆社县污水处理中心,精准一致,榆社县污水处理中心
76,01089733256,中国石油大学,中国石油大学,精准一致,北京石油大学
77,04738187549,恒丰出租车有限责任公司,恒丰出租车有限责任公司,精准一致,
78,051188795242,镇江强凌电子有限公司,镇江强凌电子有限公司,精准一致,强凌电子
79,075527309102,深圳市众汉科技有限公司福永厂,深圳市众汉科技有限公司福永厂,精准一致,深圳市众汉科技有限公司福永厂
80,087167151788,昆明亨瑞丰客栈,昆明亨瑞丰客栈,精准一致,昆明亨瑞丰客栈
81,037965163888,新华祥快捷酒店,新华祥快捷酒店,精准一致,洛阳新华祥快捷酒店
82,079185231988,武警江西总队医院,武警江西总队医院,精准一致,武警江西总队医院
83,03913532315,焦煤集团科研所,焦煤集团科研所,精准一致,
84,051988993351,苏宁易购,苏宁易购(泰康易购服务站),精准一致,苏宁电器(文化宫二店)
85,052780691042,江苏杰顺达环保科技有限公司,江苏杰顺达环保科技有限公司,精准一致,
86,03725219088,红木庄园商贸有限公司,红木庄园商贸有限公司,精准一致,
87,03728831238,林州百货有限公司,林州百货有限公司,精准一致,
88,075584705888,深圳前海达飞服务有限公司,深圳前海达飞金融服务有限公司,精准一致,钱凯达飞金融服务有限公司
89,051085988888,无锡万达文化旅游城,无锡万达文化旅游城,精准一致,无锡万达文化旅游城
90,03555807720,山西高科华烨电子集团有限公司,山西高科华烨电子集团有限公司,精准一致,长治高科产业投资有限公司
91,037123336631,开封市城投住房建设有限公司,开封市城投住房建设有限公司,精准一致,
92,051286858999*5555,苏州辉昌汽车部件有限公司,苏州辉昌汽车部件有限公司,精准一致,
93,03702831898,创意设计有限公司,创意设计有限公司,精准一致,
94,02032223080,广州普利司通化工制品公司,广州普利司通化工制品有限公司,精准一致,广州普利司通化工制品有限公司
95,02988216989,西安美术学院,西安美术学院,精准一致,西安美术学院
96,037158579109,河南高新环保科技有限公司,河南高新环保科技有限公司,精准一致,
97,075582960345,中原地产,中原地产(江苏大厦分店),精准一致,中原地产(黄埔雅苑分店)
98,02226980351,天津万源供热有限公司,天津万源供热有限公司,精准一致,
99,02162115900,上海伊尔美港华医疗美容医院,伊美尔港华医疗美容医院有限公司,精准一致,上海伊美尔港华医疗美容医院有限公司
100,075589888888,比亚迪股份有限公司,比亚迪股份有限公司,精准一致,比亚迪股份有限公司
101,052783062018,沭阳县瑞声科技控股有限公司,瑞声科技(沭阳)有限公司,精准一致,瑞声科技(沭阳)有限公司
102,05962073607,厦门威胜工贸有限公司,厦门威胜工贸有限公司,精准一致,
103,05925516018,诚益光学（厦门）有限公司,诚益光学(厦门)有限公司,精准一致,诚益光学(厦门)有限公司
104,06623528888,阳江市广宝田汽车服务有限公司,阳江市广宝田汽车销售服务有限公司,精准一致,阳江市广宝田汽车销售服务有限公司
105,076987862222,三和盛电子东莞有限公司,三和盛电子制造(东莞)有限公司,精准一致,三和盛电子制品(东莞)有限公司
106,057188132106,杭州欣燃包装设计有限公司,杭州欣燃包装设计有限公司,精准一致,杭州骏海印务有限公司
107,075529900888,德昌电机,德昌电机(金至尊大酒店西),精准一致,德昌电机(新沙路)
108,02983711111,天网软件股份有限公司,天网软件股份有限公司,精准一致,天网软件股份有限公司
109,073189907817,广州广日电梯工业有限公司,广州广日电梯工业有限公司湖南分公司,精准一致,
110,03106700116,河北高晶电器设备有限公司,河北高晶电器设备有限公司,精准一致,邯郸市中防人力资源有限公司
111,073183929791,湖南省人民医院,湖南省人民医院,精准一致,
112,051257705555,苏州酷奇投资管理有限公司,苏州酷奇投资管理有限公司,精准一致,苏州酷奇投资管理有限公司
113,053188783559,济南金威刻,济南金威刻科技发展有限公司,精准一致,济南金威刻科技发展有限公司
114,05394550888,山东锣响汽车制造有限公司,山东锣响汽车制造有限公司,精准一致,
115,01065873654,中润汇德装饰有限公司,中润汇德装饰有限公司,精准一致,
