uid,号码,商户名称,比对结果,entName,regOrg,address,province,city,county,areaCode,entStatus,区号,一致否
1,01051385128,尚艺墅餐饮娱乐,模糊一致,,,,,,,,,,
2,01051655505,北京东方飞扬软件有限公司,精确一致,,,,,,,,,,
3,01051664940,挚友诚达有限公司,模糊一致,,,,,,,,,,
4,01051668196*400,京华网校,模糊一致,,,,,,,,,,
5,01051922561,思普科,精确一致,,,,,,,,,,
6,01051994563,北京大润发商业有限公司,模糊一致,,,,,,,,,,
7,01052696688,中国移动设计院,精确一致,,,,,,,,,,
8,01053502666,冠群驰骋,精确一致,,,,,,,,,,
9,01053526588,隆基泰和智慧能源控股有限公司,精确一致,,,,,,,,,,
10,01056221250,北京昱新科技有限公司,精确一致,北京昱新科技有限公司,北京市工商行政管理局丰台分局,北京市丰台区航丰路1号院2号楼4层403-25室(电梯层5层503-25室),北京,北京市,丰台区,110106,在营（开业）,010,一致
11,01056245075,李世石围棋学校,精确一致,,,,,,,,,,
12,01056861666*8263,国金黄金股份有限公司,精确一致,国金黄金股份有限公司,北京市工商行政管理局,北京市平谷区林荫北街13号信息大厦802室,北京,北京市,平谷区,110117,在营（开业）,010,一致
13,01056861666*8816,国金黄金股份有限公司,精确一致,国金黄金股份有限公司,北京市工商行政管理局,北京市平谷区林荫北街13号信息大厦802室,北京,北京市,平谷区,110117,在营（开业）,010,一致
14,01057156994,斐堡健身学院,精确一致,,,,,,,,,,
15,01057317000,车好多集团,精确一致,,,,,,,,,,
16,01057968823,中核二三,精确一致,,,,,,,,,,
17,01058111222,爱康国宾,精确一致,,,,,,,,,,
18,01059037111,北京宏泰房地产开发有限公司,模糊一致,北京宏泰房地产开发有限公司,北京市工商行政管理局通州分局,北京市通州区永顺镇乔庄村综合楼418室,北京,北京市,通州区,110112,在营（开业）,010,一致
19,01059037111*8876,北京宏泰房地产开发有限公司,模糊一致,北京宏泰房地产开发有限公司,北京市工商行政管理局通州分局,北京市通州区永顺镇乔庄村综合楼418室,北京,北京市,通州区,110112,在营（开业）,010,一致
20,01059037199,多佐精致料理,精确一致,,,,,,,,,,
21,01059067668,北京盘古七星酒店,精确一致,,,,,,,,,,
22,01059137700,北京宇信科技集团,精确一致,,,,,,,,,,
23,01059776771,菲尔格林北京科技有限公司,精确一致,,,,,,,,,,
24,01059875000,文思海辉软件技术有限公司,精确一致,,,,,,,,,,
25,01060561320,北京联合维拓科技有限公司,精确一致,北京联合维拓科技有限公司,北京市工商行政管理局朝阳分局,北京市朝阳区五里桥二街2号院8号楼4层0423,北京,北京市,朝阳区,110105,在营（开业）,010,一致
26,01060606666,小米产业园,模糊一致,,,,,,,,,,
27,01060676000,凤凰网,精确一致,,,,,,,,,,
28,01060987678,京东石林峡景区,模糊一致,,,,,,,,,,
29,01060999817,北京市富乐科技开发有限公司,精确一致,北京市富乐科技开发有限公司,北京市工商行政管理局平谷分局,北京市平谷区马坊工业区西区50号,北京,北京市,平谷区,110117,在营（开业）,010,一致
30,01061111135,北京二十九号娱乐有限公司,精确一致,北京二十九号娱乐有限公司,北京市工商行政管理局顺义分局,北京市顺义区马坡镇顺成大街29号(三层),北京,北京市,顺义区,110113,在营（开业）,010,一致
31,01061384666,中粮万科半岛广场木九十专柜,模糊一致,,,,,,,,,,
32,01061519570,金思黛国际健康管理有限公司,精确一致,,,,,,,,,,
33,01061720558,北京昌平凯博外国语学校,精确一致,,,,,,,,,,
34,01062045522,中油宾馆,精确一致,,,,,,,,,,
35,01062156687,中国市政工程华北设计研究院,精确一致,中国市政工程华北设计研究总院有限公司,天津市市场和质量监督管理委员会,天津市河西区气象台路99号,天津,天津市,,120103,在营（开业）,010,不一致
36,01062266113,北京亚欧出租出租汽车公司,精确一致,,,,,,,,,,
37,01062302423,大唐科苑宾馆,模糊一致,,,,,,,,,,
38,01062309620,北京朗程科讯科技有限公司,精确一致,北京朗程科讯科技有限公司,北京市工商行政管理局海淀分局,北京市海淀区学院路51号(首享科技大厦2层0201房间 ),北京,北京市,海淀区,110108,在营（开业）,010,一致
39,01062598788,首农香山会议中心,精确一致,,,,,,,,,,
40,01062752114,北京大学,精确一致,,,,,,,,,,
41,01062758866,北京法意科技有限公司,精确一致,北京法意科技有限公司,北京市工商行政管理局西城分局,北京市西城区西直门北大街北滨河路9号楼第五层,北京,北京市,西城区,110102,在营（开业）,010,一致
42,01062927779,北京猎豹移动科技有限公司,精确一致,北京猎豹移动科技有限公司,北京市工商行政管理局石景山分局,北京市石景山区实兴大街30号院3号楼2层A-0071号,北京,北京市,石景山区,110107,在营（开业）,010,一致
43,01062968220,上地肯德基店,精确一致,,,,,,,,,,
44,01062972997,北京中大能环工程技术公司,精确一致,,,,,,,,,,
45,01063014411,北京友谊医院,精确一致,,,,,,,,,,
46,01063016688,前门建国饭店,精确一致,,,,,,,,,,
47,01063021088,懿菲公司,不一致,,,,,,,,,,
48,01063219000*8122,商标局审查协作中心,模糊一致,,,,,,,,,,
49,01063228800,华能国际电力股份有限公司,模糊一致,华能国际电力股份有限公司,北京市工商行政管理局,北京市西城区复兴门内大街6号(华能大厦),北京,北京市,,110102,在营（开业）,010,一致
50,01063360900,广东晟典（北京）律师事务所,精确一致,,,,,,,,,,
51,01063722988,北京魔力象限科技有限公司,精确一致,北京魔力象限科技有限公司,北京市工商行政管理局丰台分局,北京市丰台区南四环西路186号二区3号楼7层08室,北京,北京市,丰台区,110106,在营（开业）,010,一致
52,01063825020,北京环慧商贸有限公司,精确一致,北京环慧商贸有限公司,北京市工商行政管理局丰台分局,北京市丰台区西四环南路55号丰台体育中心西12看台,北京,北京市,丰台区,110106,在营（开业）,010,一致
53,01063836811,北京金图,精确一致,,,,,,,,,,
54,01063861589,北京易联讯达商贸有限公司,精确一致,北京易联讯达商贸有限公司,北京市工商行政管理局昌平分局,北京市昌平区沙河镇巩华城大街西侧,北京,北京市,昌平区,110114,在营（开业）,010,一致
55,01063965642*8211,羊坊店社区卫生服务中心,精确一致,,,,,,,,,,
56,01064001960,北京市小洞天鱼香天下火锅城,精确一致,北京市小洞天鱼香天下火锅城,东城分局北新桥工商所,北京市东城区东直门内大街269号,北京,北京市,东城区,,在营（开业）,010,一致
57,01064170880,固特异轮胎,模糊一致,,,,,,,,,,
58,01064351686,北京海光仪器有限公司,精确一致,北京海光仪器有限公司,北京市工商行政管理局朝阳分局,北京市朝阳区酒仙桥东路1号M3楼,北京,北京市,朝阳区,110105,在营（开业）,010,一致
59,01064398322,华夏天信集团,精确一致,,,,,,,,,,
60,01064540812,康仔餐饮有限公司,精确一致,,,,,,,,,,
61,01064611733,北京品高辉煌科技有限责任公司,精确一致,北京品高辉煌科技有限责任公司,北京市工商行政管理局海淀分局,北京市海淀区西三旗昌临801号28号1层A1001(东升地区),北京,北京市,海淀区,110108,在营（开业）,010,一致
62,01064627366,云微星璨,精确一致,,,,,,,,,,
63,01064850818,新时代健康产业有限公司,精确一致,,,,,,,,,,
64,01065022977,至尊蘭爵,无法匹配,,,,,,,,,,
65,01065129639,北京安勤生物科技有限公司,精确一致,北京安勤生物科技有限公司,北京市工商行政管理局东城分局,北京市东城区灯市口大街33号910A,北京,北京市,东城区,110101,在营（开业）,010,一致
66,01065202562,泰利普天科技有限公司,精确一致,,,,,,,,,,
67,01065206195,首约科技有限公司,精确一致,,,,,,,,,,
68,01065282465,俏丽风情,不一致,,,,,,,,,,
69,01065283663,中信控股,不一致,,,,,,,,,,
70,01065285858,北京尼康,精确一致,,,,,,,,,,
71,01065307694,华联咖世家餐饮有限公司,精确一致,,,,,,,,,,
72,01065308345,北京市建研律师事务所,精确一致,,,,,,,,,,
73,01065320835,北京大木装饰工程有限公司,精确一致,,,,,,,,,,
74,01065613920*8240,中国国际技术智力合作公司,精确一致,中国国际技术智力合作有限公司,北京市工商行政管理局,北京市朝阳区光华路7号汉威大厦,北京,北京市,,110105,在营（开业）,010,一致
75,01065709768*6006,中雅博悦文化传媒,无法匹配,,,,,,,,,,
76,01065765168,中交四公局第二工程有限公司,精确一致,中交四公局第二工程有限公司,北京市工商行政管理局北京经济技术开发区分局,北京市北京经济技术开发区荣京东街3号1幢24层1单元2220,北京,北京市,,110302,在营（开业）,010,一致
77,01065765858,北京蓝调庄园文化发展有限公司,模糊一致,北京蓝调庄园文化发展有限公司,北京市工商行政管理局朝阳分局,北京市朝阳区金盏乡楼梓庄村南,北京,北京市,朝阳区,110105,在营（开业）,010,一致
78,01065768583,海澜之家新桥销售有限公司,精确一致,,,,,,,,,,
79,01065860070,北京京客隆集团,模糊一致,,,,,,,,,,
80,01065871066,啊城潮州小管,精确一致,,,,,,,,,,
81,01065886012*800,北京保客云管家,精确一致,,,,,,,,,,
82,01065902688,北京酷云互动科技有限公司,精确一致,北京酷云互动科技有限公司,北京市工商行政管理局东城分局,北京市东城区安定门东大街28号1号楼B座1509室,北京,北京市,东城区,110101,在营（开业）,010,一致
83,01065903388*5512,北京昆仑饭店,精确一致,,,,,,,,,,
84,01065953636,鑫韩宫,精确一致,,,,,,,,,,
85,01066069936,北京汝肴餐饮管理有限公司,精确一致,北京汝肴餐饮管理有限公司,北京市工商行政管理局西城分局,北京市西城区南长街38号,北京,北京市,西城区,110102,在营（开业）,010,一致
86,01066419688,北京海棠依旧餐饮管理有限公司,精确一致,北京海棠依旧餐饮管理有限公司,北京市工商行政管理局朝阳分局,北京市朝阳区崔各庄乡南春路2号(国门信诚孵化器0795号),北京,北京市,朝阳区,110105,在营（开业）,010,一致
87,01066572688,玉林烤鸭店,精确一致,,,,,,,,,,
88,01067000368,嘉佳布艺,不一致,,,,,,,,,,
89,01067233059,浩雍集团,精确一致,,,,,,,,,,
90,01067623218,富思特新材料,精确一致,,,,,,,,,,
91,01067702330,莱克广营餐饮管理公司,精确一致,,,,,,,,,,
92,01067720378,龙人眼镜,精确一致,,,,,,,,,,
93,01067781969,聂卫平围棋道场,精确一致,,,,,,,,,,
94,01067817887*3103,北京振国中西医结合肿瘤医院,精确一致,北京振国中西医结合肿瘤医院,北京市工商行政管理局北京经济技术开发区分局,北京市北京经济技术开发区西环南路6号1号楼1-4层,北京,,,110302,在营（开业）,,
95,01067859135,星巴克,精确一致,,,,,,,,,,
96,01067872200*504,诺兰特移动通信配件北京公司,精确一致,,,,,,,,,,
97,01067886777,北京运通博恩,精确一致,,,,,,,,,,
98,01067926969,斯博瑞酒店,精确一致,,,,,,,,,,
99,01068260114,迅销（中国）商贸有限公司,精确一致,迅销（中国）商贸有限公司,上海市工商行政管理局,上海市徐汇区虹桥路1号1幢19层1903、1904、1905单元,上海,上海市,徐汇区,310104,在营（开业）,010,不一致
100,01068351166,银龙宛宾馆有限公司,精确一致,,,,,,,,,,
101,01068423399,北京相苑典膳餐饮管理有限公司,精确一致,北京相苑典膳餐饮管理有限公司,北京市工商行政管理局海淀分局,北京市海淀区紫竹院路69号02层23-210,北京,北京市,海淀区,110108,在营（开业）,010,一致
102,01068491408,唐宫海鲜舫餐厅,精确一致,,,,,,,,,,
103,01068652947,北京重德物业有限公司,不一致,,,,,,,,,,
104,01068753552,北京航天振邦机械有限公司,精确一致,,,,,,,,,,
105,01068905588*4703,中兵物业公司,精确一致,,,,,,,,,,
106,01069055637,占乐兴摩托车修理部,精确一致,,,,,,,,,,
107,01069243266,北京公交集团,精确一致,,,,,,,,,,
108,01069283201,运通兴恩汽车销售服务公司,精确一致,,,,,,,,,,
109,01069286777,运通兴宝汽车销售有限公司,精确一致,,,,,,,,,,
110,01069287661,北京鹤延龄药业发展有限公司,模糊一致,北京鹤延龄药业发展有限公司,北京市工商行政管理局大兴分局,北京市大兴区长子营镇靳七营村委会路北500米,北京,北京市,大兴区,110115,在营（开业）,010,一致
111,01069362114,北京市房山区国泰百货良乡店,精确一致,,,,,,,,,,
112,01069410101*5008,世纪百强家具厂,精确一致,,,,,,,,,,
113,01069423220,北京市顺义医院,精确一致,,,,,,,,,,
114,01069446601,北京市顺义区国家税务局,模糊一致,,,,,,,,,,
115,01069739968,北京鼎盛食品仓储有限公司,精确一致,北京鼎盛食品仓储有限公司,北京市工商行政管理局昌平分局,北京市昌平区沙河镇北二村朝宗桥西侧,北京,北京市,昌平区,110114,在营（开业）,010,一致
116,01069966786,北京佰圆之家快捷客栈,不一致,,,,,,,,,,
117,01080100346,北京吴承尚艺服饰有限公司,精确一致,北京吴承尚艺服饰有限公司,北京市工商行政管理局丰台分局,北京市丰台区南三环中路小铁营10号10幢一层1B05,北京,北京市,丰台区,110106,在营（开业）,010,一致
118,01080224226,北京嘉联华建筑工程有限公司,精确一致,北京嘉联华工程技术有限公司,北京市工商行政管理局丰台分局,北京市丰台区南苑红房子东街8号F1,北京,北京市,丰台区,110106,在营（开业）,010,一致
119,01080255373,北京优时梦想,精确一致,,,,,,,,,,
120,01080271242,采育镇喷漆厂,不一致,,,,,,,,,,
121,01080271355,北京融青生态农业有限公司,精确一致,北京融青生态农业有限公司,北京市工商行政管理局大兴分局,北京市大兴区采育镇沙窝村村委会东1000米,北京,北京市,大兴区,110115,在营（开业）,010,一致
122,01080278688,普莱德新能源,精确一致,,,,,,,,,,
123,01080480101,北京SMC制造有限公司,精确一致,,,,,,,,,,
124,01080779077,北京玖鼎伟业文化发展有限公司,精确一致,北京玖鼎伟业文化发展有限公司,北京市工商行政管理局昌平分局,北京市昌平区回龙观镇风雅园三区3号楼2层,北京,北京市,昌平区,110114,在营（开业）,010,一致
125,01080791088,回龙观京凡建材,不一致,,,,,,,,,,
126,01080818626,北京明日众创科技有限公司,精确一致,北京明日众创科技有限公司,北京市工商行政管理局丰台分局,北京市丰台区王佐镇山坡村南良三路(云良路)西侧东院2001,北京,北京市,丰台区,110106,在营（开业）,010,一致
127,01080890420,文勋餐饮管理有限公司,精确一致,,,,,,,,,,
128,01081285283,欧暖之家暖通设备有限公司,模糊一致,,,,,,,,,,
129,01082000860,知识产权出版社,精确一致,,,,,,,,,,
130,01082030403,北京宏宇恒翼机电公司,不一致,,,,,,,,,,
131,01082156669,北京凯莱酒店有限公司,精确一致,,,,,,,,,,
132,01082263186,北京易泊时代科技咨询,精确一致,,,,,,,,,,
133,01082317114,北京航空航天大学,精确一致,,,,,,,,,,
134,01082327777,良子健身,精确一致,,,,,,,,,,
135,01082449979,云川人家,精确一致,,,,,,,,,,
136,01082526138,北京故香思餐饮管理有限公司,模糊一致,,,,,,,,,,
